# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  -2.11099e-07 -8.65498e-08 -1.68016e-08 1.94542 1.94754 16.3615
0.025 0.025 0 0.0353553  -4.42981 -3.5557 -3.16668 -1.72639 -0.311896 11.2229
0.05 0.05 0 0.0707107  0.0565363 8.77596 8.9956 9.21249 10.1356 11.5746
0.075 0.075 0 0.106066  -0.317186 13.7021 15.7664 16.3389 17.549 17.9823
0.1 0.1 0 0.141421  0.382315 17.764 22.327 23.5173 24.7087 27.1155
0.125 0.125 0 0.176777  0.697768 19.3149 29.3135 30.7426 33.4844 37.1727
0.15 0.15 0 0.212132  1.03638 19.9834 37.4607 41.186 43.2176 47.4707
0.175 0.175 0 0.247487  1.46255 20.1285 44.8039 52.5762 54.9869 58.6984
0.2 0.2 0 0.282843  1.92797 20.0473 51.9569 63.1972 65.6433 70.0233
0.225 0.225 0 0.318198  2.4366 19.8359 58.8988 73.62 75.6844 81.7824
0.25 0.25 0 0.353553  2.98241 19.5219 65.4639 82.9951 85.2772 93.1711
0.275 0.275 0 0.388909  3.57562 19.1222 71.7112 91.4952 94.8335 104.351
0.3 0.3 0 0.424264  4.17817 18.6914 77.4011 97.9829 103.842 114.503
0.325 0.325 0 0.459619  4.81116 18.2148 82.467 101.849 112.504 123.659
0.35 0.35 0 0.494975  5.44142 17.7257 86.5836 102.19 119.862 131.898
0.375 0.375 0 0.53033  6.04997 17.2278 89.3539 96.8782 126.172 139.273
0.4 0.4 0 0.565685  6.62564 16.7623 82.4961 93.2837 130.287 145.466
0.425 0.425 0 0.601041  7.136 16.3269 66.6214 94.8793 131.233 150.812
0.45 0.45 0 0.636396  7.53271 15.9766 53.6356 96.8363 129.108 155.236
0.475 0.475 0 0.671751  7.80166 15.7647 48.0344 98.5041 124.935 159.379
0.5 0.5 0 0.707107  7.89187 15.71 47.2307 99.1476 122.406 161.812
0.5 0.5 0 0.707107  7.89187 15.71 47.2307 99.1476 122.406 161.812
0.483333 0.516667 0 0.730677  7.94169 15.6563 45.7443 99.2768 121.693 160.867
0.466667 0.533333 0 0.754247  8.0834 15.517 41.847 99.6276 118.43 159.124
0.45 0.55 0 0.777817  8.30771 15.313 36.2789 100.105 110.331 157.36
0.433333 0.566667 0 0.801388  8.61665 15.0386 29.2083 92.9444 102.405 155.33
0.416667 0.583333 0 0.824958  9.01228 14.688 24.3661 74.8534 103.346 153.482
0.4 0.6 0 0.848528  9.47996 14.2693 29.7413 66.8478 105.497 152.185
0.383333 0.616667 0 0.872098  10.0113 13.7808 45.3573 76.4267 108.553 151.345
0.366667 0.633333 0 0.895669  10.6041 13.2296 64.8503 90.665 111.935 151.249
0.35 0.65 0 0.919239  11.2445 12.6239 81.1528 97.3224 114.15 151.385
0.333333 0.666667 0 0.942809  11.9354 11.9487 91.9516 92.956 114.727 151.147
0.333333 0.666667 0 0.942809  11.9354 11.9487 91.9516 92.956 114.727 151.147
0.316667 0.633333 0 0.980077  11.2174 12.6488 79.3476 96.9141 114.208 151.175
0.3 0.6 0 1.01734  10.4572 13.4081 57.5046 95.1878 112.67 150.352
0.283333 0.566667 0 1.05461  9.65773 14.1595 44.1074 91.1013 110.131 148.283
0.266667 0.533333 0 1.09188  8.84423 14.878 61.4141 99.5338 108.334 145.811
0.25 0.5 0 1.12915  8.00748 15.6008 89.5368 103.539 114.389 142.384
0.233333 0.466667 0 1.16642  7.1652 16.3261 98.9915 109.598 117.463 138.621
0.216667 0.433333 0 1.20368  6.32969 17.0284 94.645 111.182 121.719 133.701
0.2 0.4 0 1.24095  5.49489 17.6782 89.5356 106.316 119.692 127.481
0.183333 0.366667 0 1.27822  4.70877 18.2852 83.661 100.113 113.462 119.125
0.166667 0.333333 0 1.31549  3.95741 18.8538 76.9936 92.7886 104.356 109.076
0.15 0.3 0 1.35275  3.24549 19.3648 69.7121 84.1034 93.2152 97.53
0.133333 0.266667 0 1.39002  2.57396 19.7519 62.0067 74.706 80.8976 84.6515
0.116667 0.233333 0 1.42729  1.96001 20.0389 53.5603 63.8088 68.0493 71.5894
0.1 0.2 0 1.46456  1.41191 20.1299 45.0526 50.9159 54.7207 58.2488
0.0833333 0.166667 0 1.50183  0.952275 19.8549 36.5267 38.9659 41.6962 45.7662
0.0666667 0.133333 0 1.53909  0.461328 18.3934 26.7051 27.9817 31.0105 33.7092
0.05 0.1 0 1.57636  0.15221 14.6358 16.2534 19.5783 21.8592 23.4471
0.0333333 0.0666667 0 1.61363  -0.416829 6.98525 10.8364 10.9925 12.0174 12.9757
0.0166667 0.0333333 0 1.6509  -3.46607 -3.18106 -1.59223 -0.272481 2.76276 10.8529
4.85723e-17 9.71445e-17 0 1.68817  -2.11084e-07 -8.66222e-08 -1.63134e-08 1.94542 1.94754 16.3615
