# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  -1.12883e-06 -2.41863e-07 2.7031e-07 35.0639 70.5711 77.4221
0.025 0.025 0 0.0353553  6.5315 12.519 18.1298 35.7903 71.0968 78.3564
0.05 0.05 0 0.0707107  7.34999 9.6676 20.9309 36.4437 72.0644 79.9136
0.075 0.075 0 0.106066  13.2662 16.6826 18.8773 32.6023 74.274 78.3279
0.1 0.1 0 0.141421  13.8231 18.6921 23.3738 28.3625 75.4258 81.9514
0.125 0.125 0 0.176777  12.3545 17.7155 21.3708 31.3776 73.7972 78.3665
0.15 0.15 0 0.212132  8.84816 14.724 22.9946 29.8513 71.6381 77.1412
0.175 0.175 0 0.247487  13.067 24.1932 27.5673 30.5843 69.961 74.5858
0.2 0.2 0 0.282843  11.5916 22.9212 30.8356 38.4254 69.3146 79.0489
0.225 0.225 0 0.318198  13.0408 25.4237 28.63 33.1325 70.1973 72.9722
0.25 0.25 0 0.353553  15.9125 22.8348 32.0215 38.5404 66.0086 72.0582
0.275 0.275 0 0.388909  18.6094 28.6141 30.7087 39.2241 63.8817 69.6123
0.3 0.3 0 0.424264  21.6379 27.8867 31.1375 41.4035 60.245 72.0237
0.325 0.325 0 0.459619  17.9551 26.6358 32.2394 38.9342 61.9251 70.1224
0.35 0.35 0 0.494975  10.3811 27.0829 35.3405 42.0731 61.6719 68.7534
0.375 0.375 0 0.53033  11.4452 25.9308 36.2808 41.1213 58.8968 68.7302
0.4 0.4 0 0.565685  8.52995 24.9071 34.5958 42.6455 59.875 65.3515
0.425 0.425 0 0.601041  13.7386 26.0588 37.6323 44.6919 56.6044 69.0819
0.45 0.45 0 0.636396  15.2007 25.5423 38.5296 46.2768 56.8849 69.5606
0.475 0.475 0 0.671751  13.3007 26.214 40.0683 43.4751 57.334 66.8078
0.5 0.5 0 0.707107  8.68064 21.994 35.5868 45.7343 56.2719 62.7274
0.5 0.5 0 0.707107  8.68064 21.994 35.5868 45.7343 56.2719 62.7274
0.483333 0.516667 0 0.730677  11.2362 24.6245 38.1785 44.5248 56.8783 63.5873
0.466667 0.533333 0 0.754247  15.8303 26.0744 39.3743 42.7639 56.3168 64.4408
0.45 0.55 0 0.777817  16.9834 24.9476 39.385 42.6377 54.0467 62.9393
0.433333 0.566667 0 0.801388  18.5123 24.3572 41.3016 44.4071 53.38 61.2563
0.416667 0.583333 0 0.824958  18.9565 22.2538 42.4141 47.6256 55.8928 64.2869
0.4 0.6 0 0.848528  18.4268 19.8936 43.4765 49.7111 58.2627 67.8957
0.383333 0.616667 0 0.872098  18.0507 21.5043 44.6775 49.3731 55.0606 68.5918
0.366667 0.633333 0 0.895669  15.869 22.7821 42.9038 47.7297 53.7258 67.562
0.35 0.65 0 0.919239  14.24 20.9572 43.3826 44.6082 55.0594 65.8264
0.333333 0.666667 0 0.942809  15.5764 19.2357 43.6077 46.4753 51.5075 64.8825
0.333333 0.666667 0 0.942809  15.5764 19.2357 43.6077 46.4753 51.5075 64.8825
0.316667 0.633333 0 0.980077  15.8688 19.7375 41.5427 47.4126 51.3791 64.774
0.3 0.6 0 1.01734  15.6675 21.3977 39.8406 48.2157 53.3717 63.4917
0.283333 0.566667 0 1.05461  15.2383 23.2629 39.1951 45.9706 55.1901 63.1159
0.266667 0.533333 0 1.09188  13.2932 23.6401 41.6293 45.2263 56.925 65.4906
0.25 0.5 0 1.12915  11.6344 24.498 36.2751 43.3462 57.3157 69.7136
0.233333 0.466667 0 1.16642  14.1639 23.5121 37.8215 45.3484 58.6606 67.2458
0.216667 0.433333 0 1.20368  16.6789 23.2017 37.6974 44.8601 58.664 68.6974
0.2 0.4 0 1.24095  9.0061 24.2934 32.7309 41.8549 61.7914 71.3078
0.183333 0.366667 0 1.27822  11.9237 28.15 29.2717 35.3158 66.6552 72.711
0.166667 0.333333 0 1.31549  13.9031 24.433 28.2948 30.8776 63.7478 76.0958
0.15 0.3 0 1.35275  11.4105 21.0377 24.8097 30.1038 64.7935 73.0157
0.133333 0.266667 0 1.39002  10.27 22.9254 26.6428 30.6653 71.2819 72.5987
0.116667 0.233333 0 1.42729  12.6003 23.9903 27.2015 32.6084 69.113 71.2596
0.1 0.2 0 1.46456  13.6205 21.8023 24.3441 35.712 64.6605 71.2096
0.0833333 0.166667 0 1.50183  13.5358 18.8202 26.3744 35.4325 70.602 74.3117
0.0666667 0.133333 0 1.53909  10.9862 17.0502 21.5139 31.737 74.1717 78.2731
0.05 0.1 0 1.57636  6.36654 11.5886 23.0696 28.3318 72.7898 77.4783
0.0333333 0.0666667 0 1.61363  1.39164 13.5503 18.9308 34.3823 72.1151 79.8828
0.0166667 0.0333333 0 1.6509  8.25069 10.5464 15.0762 35.8204 71.8593 79.8051
4.85723e-17 9.71445e-17 0 1.68817  -1.14433e-06 -4.94328e-07 5.42364e-07 35.0639 70.5711 77.4221
