# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  -1.21277e-06 -1.79244e-07 6.52115e-07 16.2064 52.8951 89.8641
0.025 0.025 0 0.0353553  -0.137108 3.35239 5.10176 22.0444 69.6702 79.8527
0.05 0.05 0 0.0707107  0.42999 4.81228 7.58218 27.1451 64.3791 91.7119
0.075 0.075 0 0.106066  1.24984 7.74322 12.078 29.1054 66.1316 73.4987
0.1 0.1 0 0.141421  1.15485 11.3244 12.0108 36.3335 59.8463 63.8429
0.125 0.125 0 0.176777  2.67673 15.6202 16.7228 27.9889 55.3835 68.3117
0.15 0.15 0 0.212132  4.26303 16.7664 18.3475 23.9841 46.0634 73.3088
0.175 0.175 0 0.247487  2.94531 17.6514 21.5573 39.0149 68.0311 72.4272
0.2 0.2 0 0.282843  2.68783 21.8972 23.9957 56.4933 76.698 81.2546
0.225 0.225 0 0.318198  3.69297 24.7235 25.4358 39.8059 57.5228 80.1677
0.25 0.25 0 0.353553  5.21211 28.9326 33.4303 35.6334 51.4082 83.5961
0.275 0.275 0 0.388909  6.66552 27.6345 29.9806 32.4968 65.0541 74.8997
0.3 0.3 0 0.424264  7.69706 23.9045 24.9783 28.2444 66.1228 73.0615
0.325 0.325 0 0.459619  8.87818 31.8315 32.4915 35.9617 58.4237 62.6106
0.35 0.35 0 0.494975  7.4831 35.4311 40.659 44.3454 48.4403 63.636
0.375 0.375 0 0.53033  6.81624 35.6557 35.9804 40.0886 62.2613 65.2705
0.4 0.4 0 0.565685  4.84631 23.175 34.8973 52.9103 57.8517 63.4418
0.425 0.425 0 0.601041  8.59846 22.7153 37.6142 44.8372 45.574 66.3702
0.45 0.45 0 0.636396  13.4825 20.8155 26.7309 44.4148 51.0573 54.8478
0.475 0.475 0 0.671751  15.5987 26.3548 42.4513 49.8304 53.7835 54.1829
0.5 0.5 0 0.707107  21.6334 28.6688 39.8365 52.1727 56.8439 59.25
0.5 0.5 0 0.707107  21.6334 28.6688 39.8365 52.1727 56.8439 59.25
0.483333 0.516667 0 0.730677  19.4676 26.8992 47.2383 49.3026 52.2231 61.8029
0.466667 0.533333 0 0.754247  19.2802 20.3739 40.4585 42.3327 51.3451 73.6124
0.45 0.55 0 0.777817  12.061 21.3674 36.5663 39.0509 42.9537 82.0772
0.433333 0.566667 0 0.801388  12.6784 18.3024 39.6804 42.6918 44.4839 72.7432
0.416667 0.583333 0 0.824958  11.9289 15.1348 42.6984 45.9972 48.8029 58.2132
0.4 0.6 0 0.848528  11.846 15.8168 39.5735 42.9389 52.2929 52.8996
0.383333 0.616667 0 0.872098  15.0598 20.6734 34.8113 38.9677 50.6132 51.3468
0.366667 0.633333 0 0.895669  11.5645 21.5257 34.4573 43.2468 48.2269 48.9483
0.35 0.65 0 0.919239  7.78784 13.7311 41.1733 47.2674 47.7849 48.6271
0.333333 0.666667 0 0.942809  7.98048 12.0566 44.3141 46.4214 49.7478 52.674
0.333333 0.666667 0 0.942809  7.98048 12.0566 44.3141 46.4214 49.7478 52.674
0.316667 0.633333 0 0.980077  9.7346 15.9289 40.5425 46.6107 53.6239 63.7727
0.3 0.6 0 1.01734  14.454 14.6908 26.6574 50.5081 64.4563 70.7319
0.283333 0.566667 0 1.05461  10.8223 16.445 35.9649 45.133 49.0356 61.4024
0.266667 0.533333 0 1.09188  8.87699 20.6192 42.1356 44.0799 45.3189 55.8633
0.25 0.5 0 1.12915  11.2944 16.021 27.7765 54.6804 65.9373 75.3359
0.233333 0.466667 0 1.16642  13.2219 24.1147 31.4515 61.7593 66.6229 72.6157
0.216667 0.433333 0 1.20368  12.9562 26.3733 33.9577 51.5761 52.4049 55.2555
0.2 0.4 0 1.24095  7.76396 24.7174 35.183 45.533 53.1867 56.5907
0.183333 0.366667 0 1.27822  5.62399 22.0428 27.8813 34.6135 44.4779 55.4144
0.166667 0.333333 0 1.31549  4.54081 28.5654 29.0276 31.3008 60.6702 64.3641
0.15 0.3 0 1.35275  3.87852 29.105 32.1008 41.658 75.3219 84.664
0.133333 0.266667 0 1.39002  6.58443 29.6882 32.8427 36.8198 72.8798 79.9487
0.116667 0.233333 0 1.42729  4.57753 18.9834 25.628 27.7879 62.8962 82.3888
0.1 0.2 0 1.46456  2.81093 20.2223 21.2343 24.5533 64.8434 74.6037
0.0833333 0.166667 0 1.50183  1.60757 15.9474 19.0205 23.9644 57.6509 74.8396
0.0666667 0.133333 0 1.53909  -0.678609 10.0755 12.8957 20.0914 54.0572 75.5567
0.05 0.1 0 1.57636  0.582374 9.0907 10.5527 19.2741 54.3338 63.1487
0.0333333 0.0666667 0 1.61363  -0.535106 6.34216 7.14854 22.9064 68.0726 82.9154
0.0166667 0.0333333 0 1.6509  -0.215074 4.34308 5.07861 20.732 77.9917 82.2451
4.85723e-17 9.71445e-17 0 1.68817  -1.21277e-06 -1.79271e-07 6.52136e-07 16.2064 52.8951 89.8641
