# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  3.11276e-07 5.28761e-07 9.33621e-07 34.7739 75.881 114.903
0.025 0.025 0 0.0353553  0.748691 4.87884 6.18463 29.1079 75.7477 85.7946
0.05 0.05 0 0.0707107  0.355481 4.65807 5.67973 28.407 58.144 95.2706
0.075 0.075 0 0.106066  1.23022 9.20829 13.5958 29.2172 69.387 87.0639
0.1 0.1 0 0.141421  1.66679 11.9367 19.2608 29.7527 69.3554 90.445
0.125 0.125 0 0.176777  1.22971 12.2022 15.9387 21.0165 64.5229 84.9657
0.15 0.15 0 0.212132  2.66722 12.6965 16.6763 17.5586 55.214 88.9467
0.175 0.175 0 0.247487  2.95684 17.0421 19.606 32.6827 59.85 67.8946
0.2 0.2 0 0.282843  3.23287 15.2879 26.7052 42.4337 60.8245 68.325
0.225 0.225 0 0.318198  5.15711 21.3532 25.6917 34.0368 53.4176 61.626
0.25 0.25 0 0.353553  4.54132 21.4738 26.9871 34.3393 51.357 55.4262
0.275 0.275 0 0.388909  4.76247 27.0098 28.9026 34.9791 61.7679 71.2052
0.3 0.3 0 0.424264  5.25308 26.4634 32.0914 42.459 63.2747 86.5137
0.325 0.325 0 0.459619  7.74637 23.3445 28.4618 38.9739 60.9625 75.6516
0.35 0.35 0 0.494975  6.59414 24.2767 33.2476 34.1007 46.223 71.026
0.375 0.375 0 0.53033  7.92173 20.972 34.4644 36.9521 43.9241 70.2416
0.4 0.4 0 0.565685  9.85181 13.5394 29.1351 39.5667 51.7376 62.9095
0.425 0.425 0 0.601041  5.93724 15.3862 36.0755 43.0402 63.6234 74.3499
0.45 0.45 0 0.636396  9.93911 15.9757 37.9805 57.5825 74.3108 85.2561
0.475 0.475 0 0.671751  11.0257 35.8922 36.3256 49.5138 61.8164 74.87
0.5 0.5 0 0.707107  14.0631 34.3785 37.4355 53.3301 57.6419 66.7553
0.5 0.5 0 0.707107  14.0631 34.3785 37.4355 53.3301 57.6419 66.7553
0.483333 0.516667 0 0.730677  12.401 34.8798 40.8017 47.2864 51.0336 68.9074
0.466667 0.533333 0 0.754247  11.2932 30.7154 34.3306 42.556 46.9721 72.6251
0.45 0.55 0 0.777817  13.0298 25.6928 33.2839 37.8493 46.4632 71.3763
0.433333 0.566667 0 0.801388  14.9037 22.9569 32.9695 40.6141 46.9332 59.1824
0.416667 0.583333 0 0.824958  17.0873 17.8741 35.2904 41.9835 53.4894 53.9024
0.4 0.6 0 0.848528  15.9139 17.9808 39.8412 41.1934 58.7628 63.7038
0.383333 0.616667 0 0.872098  13.6307 19.1191 43.857 48.5166 55.2411 73.4739
0.366667 0.633333 0 0.895669  6.20605 21.4117 45.7286 53.2598 56.1145 71.0645
0.35 0.65 0 0.919239  5.53877 20.2672 45.6594 54.3293 55.3793 58.0782
0.333333 0.666667 0 0.942809  11.2357 16.4394 40.8161 46.3163 47.9359 51.7289
0.333333 0.666667 0 0.942809  11.2357 16.4394 40.8161 46.3163 47.9359 51.7289
0.316667 0.633333 0 0.980077  17.412 21.0816 36.1164 39.6748 42.1481 60.1957
0.3 0.6 0 1.01734  13.2306 31.371 33.9631 39.8189 42.2425 67.9816
0.283333 0.566667 0 1.05461  18.0381 21.8853 38.2557 42.9597 44.7331 47.3871
0.266667 0.533333 0 1.09188  11.2843 32.9545 42.0759 44.8127 46.5063 52.3376
0.25 0.5 0 1.12915  13.9636 23.0042 37.7955 50.5651 59.193 64.9838
0.233333 0.466667 0 1.16642  14.951 16.479 41.8921 45.6454 61.1668 74.166
0.216667 0.433333 0 1.20368  11.3744 15.7693 36.5716 46.759 59.0013 66.3283
0.2 0.4 0 1.24095  5.09303 19.2788 38.367 51.6293 52.823 81.6516
0.183333 0.366667 0 1.27822  6.3539 28.816 31.478 47.8665 51.5223 69.1069
0.166667 0.333333 0 1.31549  6.6145 24.363 34.8066 40.599 65.2128 68.8202
0.15 0.3 0 1.35275  3.79683 19.2725 24.0133 27.361 64.7298 75.6267
0.133333 0.266667 0 1.39002  4.01263 18.3363 19.5013 25.7423 51.9403 79.4047
0.116667 0.233333 0 1.42729  3.16135 14.4011 21.41 21.9158 56.5398 74.6804
0.1 0.2 0 1.46456  2.84815 15.8279 18.2049 18.8887 53.488 72.3768
0.0833333 0.166667 0 1.50183  1.46197 16.4844 17.867 18.3589 62.2057 71.0441
0.0666667 0.133333 0 1.53909  0.467037 14.3605 17.3626 22.9384 59.314 70.5178
0.05 0.1 0 1.57636  0.412392 7.27617 16.8869 29.7563 52.8957 76.5618
0.0333333 0.0666667 0 1.61363  0.474711 3.03717 11.6238 28.0628 58.8326 81.6537
0.0166667 0.0333333 0 1.6509  0.652449 4.34326 8.98244 29.4394 69.8044 88.2642
4.85723e-17 9.71445e-17 0 1.68817  3.10574e-07 5.28426e-07 9.3383e-07 34.7739 75.881 114.903
