# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  -6.63637e-07 -2.89498e-07 1.23627e-06 29.0776 81.2401 140.96
0.025 0.025 0 0.0353553  -0.630688 2.69381 3.70063 24.7996 71.9524 101.424
0.05 0.05 0 0.0707107  0.407439 3.82431 6.4678 24.6557 54.4007 74.4926
0.075 0.075 0 0.106066  -0.567068 7.89617 10.9698 27.7706 62.2557 66.3744
0.1 0.1 0 0.141421  1.16966 11.5041 16.3505 24.5848 68.2793 75.2684
0.125 0.125 0 0.176777  0.212218 12.0811 21.7715 27.0966 51.79 65.2222
0.15 0.15 0 0.212132  2.41646 14.4949 17.1059 33.3093 45.5062 57.8
0.175 0.175 0 0.247487  2.10981 19.787 26.5005 32.081 59.4333 65.1846
0.2 0.2 0 0.282843  3.57132 14.9402 17.7644 20.2621 82.6874 90.5733
0.225 0.225 0 0.318198  4.55316 12.1692 18.1844 23.2034 78.7367 99.4287
0.25 0.25 0 0.353553  4.71279 14.7186 19.6858 34.7539 57.8769 102.777
0.275 0.275 0 0.388909  4.04697 28.7606 30.1111 37.7098 66.0785 86.6985
0.3 0.3 0 0.424264  4.70491 20.4311 29.2941 33.3131 59.3626 77.7758
0.325 0.325 0 0.459619  6.51793 23.5212 28.1958 32.0968 65.1021 91.7567
0.35 0.35 0 0.494975  6.15156 22.5364 23.4679 31.6417 58.5851 84.5499
0.375 0.375 0 0.53033  7.19841 26.3051 30.7986 41.6601 57.5534 59.5852
0.4 0.4 0 0.565685  8.43722 14.6138 33.3284 50.7518 51.3325 63.9393
0.425 0.425 0 0.601041  5.93442 15.7434 38.6299 44.0348 61.3486 71.3047
0.45 0.45 0 0.636396  7.07228 17.5795 41.751 66.4531 68.6524 69.373
0.475 0.475 0 0.671751  20.037 23.9026 44.1364 55.5267 57.2503 77.3899
0.5 0.5 0 0.707107  24.6141 34.2696 35.4724 39.5349 48.076 89.6056
0.5 0.5 0 0.707107  24.6141 34.2696 35.4724 39.5349 48.076 89.6056
0.483333 0.516667 0 0.730677  25.3966 28.2404 41.9514 45.1227 49.916 84.8602
0.466667 0.533333 0 0.754247  13.1588 26.9155 44.3484 52.2313 59.5296 79.2402
0.45 0.55 0 0.777817  8.46968 26.1919 43.1408 51.3326 65.581 76.6482
0.433333 0.566667 0 0.801388  13.603 22.7622 44.2894 49.0107 59.2655 68.8823
0.416667 0.583333 0 0.824958  14.7096 21.6451 45.5016 46.9549 53.944 60.9636
0.4 0.6 0 0.848528  13.7846 24.5414 46.5441 47.1953 52.578 59.9876
0.383333 0.616667 0 0.872098  14.2508 26.5007 39.9395 46.8146 59.7738 62.0808
0.366667 0.633333 0 0.895669  11.2376 24.7058 39.3876 51.2235 61.7912 63.0887
0.35 0.65 0 0.919239  7.01048 20.5522 48.3853 54.1187 59.9928 60.7769
0.333333 0.666667 0 0.942809  12.801 18.9138 46.4276 51.3983 55.1527 66.6404
0.333333 0.666667 0 0.942809  12.801 18.9138 46.4276 51.3983 55.1527 66.6404
0.316667 0.633333 0 0.980077  13.6801 18.9874 42.7388 46.9471 63.4689 78.2296
0.3 0.6 0 1.01734  13.971 17.4709 30.2059 49.9479 54.2092 87.1716
0.283333 0.566667 0 1.05461  11.6094 23.3788 41.7868 49.1473 65.329 76.3285
0.266667 0.533333 0 1.09188  10.4669 29.4769 32.2502 46.5402 53.5603 93.0871
0.25 0.5 0 1.12915  11.7862 24.4133 28.8876 40.1198 54.3496 97.0057
0.233333 0.466667 0 1.16642  13.0805 15.798 33.4081 52.4238 74.911 87.4013
0.216667 0.433333 0 1.20368  9.44594 16.5779 25.888 46.3348 67.1155 77.4038
0.2 0.4 0 1.24095  5.53342 21.5303 23.1612 31.1311 67.1183 69.7195
0.183333 0.366667 0 1.27822  6.38203 29.0568 30.1294 34.9386 75.3789 81.5029
0.166667 0.333333 0 1.31549  4.10487 29.4035 31.1467 34.2313 56.7024 76.956
0.15 0.3 0 1.35275  3.10781 27.1392 30.0513 33.5436 43.006 73.4074
0.133333 0.266667 0 1.39002  3.60416 22.6194 26.1055 28.2639 66.3887 78.4778
0.116667 0.233333 0 1.42729  3.11653 17.7117 20.0091 33.2349 77.2964 84.2275
0.1 0.2 0 1.46456  2.09471 13.2864 15.3309 42.7073 49.7123 91.4215
0.0833333 0.166667 0 1.50183  1.09647 10.5359 13.994 34.4009 59.7206 74.9285
0.0666667 0.133333 0 1.53909  0.576202 10.4588 13.5489 26.473 57.4158 84.6565
0.05 0.1 0 1.57636  0.400285 6.83698 7.10496 21.2766 51.5405 68.9925
0.0333333 0.0666667 0 1.61363  -0.499938 2.92725 4.08591 24.1566 48.6636 66.2888
0.0166667 0.0333333 0 1.6509  -0.682454 3.19718 4.30344 27.1632 62.7138 94.6725
4.85723e-17 9.71445e-17 0 1.68817  -6.63752e-07 -2.89345e-07 1.23625e-06 29.0776 81.2401 140.96
