############################################################
# group name of the atoms under study      : all
# total number of atoms in the group       : 800
# dimension of the system                  : 3 D
# number of atoms per unit cell            : 2
# dimension of the FFT mesh                : 20 x 20 x 1
# number of wait steps before measurement  : 1000000
# frequency of the measurement             : 10
# output result after this many measurement: 50000
# number of processors used by this run    : 1
############################################################
# mapping information between lattice indices and atom id
# nx ny nz nucell
20 20 1 2
# l1 l2 l3 k atom_id
7 9 0 1 376
7 10 0 0 415
7 10 0 1 416
7 11 0 0 455
7 11 0 1 456
7 12 0 0 495
7 12 0 1 496
7 13 0 0 535
7 13 0 1 536
7 14 0 0 575
7 14 0 1 576
7 15 0 0 615
7 15 0 1 616
7 16 0 0 655
7 16 0 1 656
7 17 0 0 695
7 17 0 1 696
7 18 0 0 735
7 18 0 1 736
7 19 0 0 775
7 19 0 1 776
8 0 0 0 17
8 0 0 1 18
8 1 0 0 57
8 1 0 1 58
8 2 0 0 97
8 2 0 1 98
8 3 0 0 137
8 3 0 1 138
8 4 0 0 177
8 4 0 1 178
8 5 0 0 217
8 5 0 1 218
8 6 0 0 257
8 6 0 1 258
8 7 0 0 297
8 7 0 1 298
8 8 0 0 337
8 8 0 1 338
8 9 0 0 377
8 9 0 1 378
8 10 0 0 417
8 10 0 1 418
8 11 0 0 457
8 11 0 1 458
8 12 0 0 497
8 12 0 1 498
8 13 0 0 537
8 13 0 1 538
8 14 0 0 577
8 14 0 1 578
8 15 0 0 617
8 15 0 1 618
8 16 0 0 657
8 16 0 1 658
8 17 0 0 697
8 17 0 1 698
8 18 0 0 737
8 18 0 1 738
8 19 0 0 777
8 19 0 1 778
9 0 0 0 19
9 0 0 1 20
9 1 0 0 59
9 1 0 1 60
9 2 0 0 99
9 2 0 1 100
9 3 0 0 139
9 3 0 1 140
9 4 0 0 179
9 4 0 1 180
9 5 0 0 219
9 5 0 1 220
9 6 0 0 259
9 6 0 1 260
9 7 0 0 299
9 7 0 1 300
9 8 0 0 339
9 8 0 1 340
9 9 0 0 379
9 9 0 1 380
9 10 0 0 419
9 10 0 1 420
9 11 0 0 459
9 11 0 1 460
9 12 0 0 499
9 12 0 1 500
9 13 0 0 539
9 13 0 1 540
9 14 0 0 579
9 14 0 1 580
9 15 0 0 619
9 15 0 1 620
9 16 0 0 659
9 16 0 1 660
9 17 0 0 699
9 17 0 1 700
9 18 0 0 739
9 18 0 1 740
9 19 0 0 779
9 19 0 1 780
10 0 0 0 21
10 0 0 1 22
10 1 0 0 61
10 1 0 1 62
10 2 0 0 101
10 2 0 1 102
10 3 0 0 141
10 3 0 1 142
10 4 0 0 181
10 4 0 1 182
10 5 0 0 221
10 5 0 1 222
10 6 0 0 261
10 6 0 1 262
10 7 0 0 301
10 7 0 1 302
10 8 0 0 341
10 8 0 1 342
10 9 0 0 381
10 9 0 1 382
10 10 0 0 421
10 10 0 1 422
10 11 0 0 461
10 11 0 1 462
10 12 0 0 501
10 12 0 1 502
10 13 0 0 541
10 13 0 1 542
10 14 0 0 581
10 14 0 1 582
10 15 0 0 621
10 15 0 1 622
10 16 0 0 661
10 16 0 1 662
10 17 0 0 701
10 17 0 1 702
10 18 0 0 741
10 18 0 1 742
10 19 0 0 781
10 19 0 1 782
11 0 0 0 23
11 0 0 1 24
11 1 0 0 63
11 1 0 1 64
11 2 0 0 103
11 2 0 1 104
11 3 0 0 143
11 3 0 1 144
11 4 0 0 183
11 4 0 1 184
11 5 0 0 223
11 5 0 1 224
11 6 0 0 263
11 6 0 1 264
11 7 0 0 303
11 7 0 1 304
11 8 0 0 343
11 8 0 1 344
11 9 0 0 383
11 9 0 1 384
11 10 0 0 423
11 10 0 1 424
11 11 0 0 463
11 11 0 1 464
11 12 0 0 503
11 12 0 1 504
11 13 0 0 543
11 13 0 1 544
11 14 0 0 583
11 14 0 1 584
11 15 0 0 623
11 15 0 1 624
11 16 0 0 663
11 16 0 1 664
11 17 0 0 703
11 17 0 1 704
11 18 0 0 743
11 18 0 1 744
11 19 0 0 783
11 19 0 1 784
12 0 0 0 25
12 0 0 1 26
12 1 0 0 65
12 1 0 1 66
12 2 0 0 105
12 2 0 1 106
12 3 0 0 145
12 3 0 1 146
12 4 0 0 185
12 4 0 1 186
12 5 0 0 225
12 5 0 1 226
12 6 0 0 265
12 6 0 1 266
12 7 0 0 305
12 7 0 1 306
12 8 0 0 345
12 8 0 1 346
12 9 0 0 385
12 9 0 1 386
12 10 0 0 425
12 10 0 1 426
12 11 0 0 465
12 11 0 1 466
12 12 0 0 505
12 12 0 1 506
12 13 0 0 545
12 13 0 1 546
12 14 0 0 585
12 14 0 1 586
12 15 0 0 625
12 15 0 1 626
12 16 0 0 665
12 16 0 1 666
12 17 0 0 705
12 17 0 1 706
12 18 0 0 745
12 18 0 1 746
12 19 0 0 785
12 19 0 1 786
13 0 0 0 27
13 0 0 1 28
13 1 0 0 67
13 1 0 1 68
13 2 0 0 107
13 2 0 1 108
13 3 0 0 147
13 3 0 1 148
13 4 0 0 187
13 4 0 1 188
13 5 0 0 227
13 5 0 1 228
13 6 0 0 267
13 6 0 1 268
13 7 0 0 307
13 7 0 1 308
13 8 0 0 347
13 8 0 1 348
13 9 0 0 387
13 9 0 1 388
13 10 0 0 427
13 10 0 1 428
13 11 0 0 467
13 11 0 1 468
13 12 0 0 507
13 12 0 1 508
13 13 0 0 547
13 13 0 1 548
13 14 0 0 587
13 14 0 1 588
13 15 0 0 627
13 15 0 1 628
13 16 0 0 667
13 16 0 1 668
13 17 0 0 707
13 17 0 1 708
13 18 0 0 747
13 18 0 1 748
13 19 0 0 787
13 19 0 1 788
14 0 0 0 29
14 0 0 1 30
14 1 0 0 69
14 1 0 1 70
14 2 0 0 109
14 2 0 1 110
14 3 0 0 149
14 3 0 1 150
14 4 0 0 189
14 4 0 1 190
14 5 0 0 229
14 5 0 1 230
14 6 0 0 269
14 6 0 1 270
14 7 0 0 309
14 7 0 1 310
14 8 0 0 349
14 8 0 1 350
14 9 0 0 389
14 9 0 1 390
14 10 0 0 429
14 10 0 1 430
14 11 0 0 469
14 11 0 1 470
14 12 0 0 509
14 12 0 1 510
14 13 0 0 549
14 13 0 1 550
14 14 0 0 589
14 14 0 1 590
14 15 0 0 629
14 15 0 1 630
14 16 0 0 669
14 16 0 1 670
14 17 0 0 709
14 17 0 1 710
14 18 0 0 749
14 18 0 1 750
14 19 0 0 789
14 19 0 1 790
15 0 0 0 31
15 0 0 1 32
15 1 0 0 71
15 1 0 1 72
15 2 0 0 111
15 2 0 1 112
15 3 0 0 151
15 3 0 1 152
15 4 0 0 191
15 4 0 1 192
15 5 0 0 231
15 5 0 1 232
15 6 0 0 271
15 6 0 1 272
15 7 0 0 311
15 7 0 1 312
15 8 0 0 351
15 8 0 1 352
15 9 0 0 391
15 9 0 1 392
15 10 0 0 431
15 10 0 1 432
15 11 0 0 471
15 11 0 1 472
15 12 0 0 511
15 12 0 1 512
15 13 0 0 551
15 13 0 1 552
15 14 0 0 591
15 14 0 1 592
15 15 0 0 631
15 15 0 1 632
15 16 0 0 671
15 16 0 1 672
15 17 0 0 711
15 17 0 1 712
15 18 0 0 751
15 18 0 1 752
15 19 0 0 791
15 19 0 1 792
16 0 0 0 33
16 0 0 1 34
16 1 0 0 73
16 1 0 1 74
16 2 0 0 113
16 2 0 1 114
16 3 0 0 153
16 3 0 1 154
16 4 0 0 193
16 4 0 1 194
16 5 0 0 233
16 5 0 1 234
16 6 0 0 273
16 6 0 1 274
16 7 0 0 313
16 7 0 1 314
16 8 0 0 353
16 8 0 1 354
16 9 0 0 393
16 9 0 1 394
16 10 0 0 433
16 10 0 1 434
16 11 0 0 473
16 11 0 1 474
16 12 0 0 513
16 12 0 1 514
16 13 0 0 553
16 13 0 1 554
16 14 0 0 593
16 14 0 1 594
16 15 0 0 633
16 15 0 1 634
16 16 0 0 673
16 16 0 1 674
16 17 0 0 713
16 17 0 1 714
16 18 0 0 753
16 18 0 1 754
16 19 0 0 793
16 19 0 1 794
17 0 0 0 35
17 0 0 1 36
17 1 0 0 75
17 1 0 1 76
17 2 0 0 115
17 2 0 1 116
17 3 0 0 155
17 3 0 1 156
17 4 0 0 195
17 4 0 1 196
17 5 0 0 235
17 5 0 1 236
17 6 0 0 275
17 6 0 1 276
17 7 0 0 315
17 7 0 1 316
17 8 0 0 355
17 8 0 1 356
17 9 0 0 395
17 9 0 1 396
17 10 0 0 435
17 10 0 1 436
17 11 0 0 475
17 11 0 1 476
17 12 0 0 515
17 12 0 1 516
17 13 0 0 555
17 13 0 1 556
17 14 0 0 595
17 14 0 1 596
17 15 0 0 635
17 15 0 1 636
17 16 0 0 675
17 16 0 1 676
17 17 0 0 715
17 17 0 1 716
17 18 0 0 755
17 18 0 1 756
17 19 0 0 795
17 19 0 1 796
18 0 0 0 37
18 0 0 1 38
18 1 0 0 77
18 1 0 1 78
18 2 0 0 117
18 2 0 1 118
18 3 0 0 157
18 3 0 1 158
18 4 0 0 197
18 4 0 1 198
18 5 0 0 237
18 5 0 1 238
18 6 0 0 277
18 6 0 1 278
18 7 0 0 317
18 7 0 1 318
18 8 0 0 357
18 8 0 1 358
18 9 0 0 397
18 9 0 1 398
18 10 0 0 437
18 10 0 1 438
18 11 0 0 477
18 11 0 1 478
18 12 0 0 517
18 12 0 1 518
18 13 0 0 557
18 13 0 1 558
18 14 0 0 597
18 14 0 1 598
18 15 0 0 637
18 15 0 1 638
18 16 0 0 677
18 16 0 1 678
18 17 0 0 717
18 17 0 1 718
18 18 0 0 757
18 18 0 1 758
18 19 0 0 797
18 19 0 1 798
19 0 0 0 39
19 0 0 1 40
19 1 0 0 79
19 1 0 1 80
19 2 0 0 119
19 2 0 1 120
19 3 0 0 159
19 3 0 1 160
19 4 0 0 199
19 4 0 1 200
19 5 0 0 239
19 5 0 1 240
19 6 0 0 279
19 6 0 1 280
19 7 0 0 319
19 7 0 1 320
19 8 0 0 359
19 8 0 1 360
19 9 0 0 399
19 9 0 1 400
19 10 0 0 439
19 10 0 1 440
19 11 0 0 479
19 11 0 1 480
19 12 0 0 519
19 12 0 1 520
19 13 0 0 559
19 13 0 1 560
19 14 0 0 599
19 14 0 1 600
19 15 0 0 639
19 15 0 1 640
19 16 0 0 679
19 16 0 1 680
19 17 0 0 719
19 17 0 1 720
19 18 0 0 759
19 18 0 1 760
19 19 0 0 799
19 19 0 1 800
############################################################
